sys.exec.out.time,mc.model.netNodes[1].mContent.mPressure,mc.model.netNodes[2].mContent.mPressure,mc.model.conductor1.mFlowRate,mc.model.conductor2.mFlowRate
0,100.5983683,100.5978737,0.028437891,0.056875783
0.1,99.67322001,99.56393843,0.02814561,0.056291219
0.2,98.75890333,97.16595942,0.027481344,0.054962688
0.3,97.85143139,92.04192542,0.026048555,0.052097109
0.4,97.0081028,86.42632145,0.024473771,0.048947541
0.5,96.25450372,82.40073052,0.023346494,0.046692987
0.6,95.56269562,79.97360212,0.022670348,0.045340696
0.7,94.90276755,78.52255833,0.022269845,0.04453969
0.8,94.2581197,77.57038301,0.022010237,0.044020473
0.9,93.62158976,76.85574333,0.021817693,0.043635385
1,93.29260529,81.7552193,0.014926751,0.029853503
1.1,92.90343706,83.2820185,0.015212606,0.030425211
1.2,92.48437199,83.68421192,0.015291282,0.030582564
1.3,92.05032297,83.63832966,0.015287802,0.030575604
1.4,91.61030414,83.39833175,0.015248881,0.030497761
1.5,91.16904426,83.07141104,0.015194113,0.030388225
1.6,90.72870111,82.70543636,0.015132206,0.030264413
1.7,90.29014708,82.32234536,0.015067143,0.030134285
1.8,89.85369567,81.93231496,0.015000769,0.030001538
1.9,89.41944433,81.54009635,0.014933948,0.029867897
2,89.306865,82.24427287,0.006696867,0.013393734
2.1,89.1547122,82.46204324,0.006716842,0.013433685
2.2,88.98286058,82.46855392,0.006718551,0.013437102
2.3,88.7983136,82.37555076,0.006711921,0.013423842
2.4,88.60752142,82.23571355,0.006701476,0.013402952
2.5,88.41441783,82.07426894,0.006689302,0.013378603
2.6,88.22083641,81.90308954,0.006676351,0.013352702
2.7,88.02739827,81.72759318,0.006663052,0.013326105
2.8,87.83429507,81.55027315,0.006649603,0.013299206
2.9,87.64159138,81.37229929,0.006636096,0.013272192
3,87.65707189,0,0,0
3.1,87.65716947,0,0,0
3.2,87.6609708,0,0,0
3.3,87.66478464,0,0,0
3.4,87.66808939,0,0,0
3.5,87.67087643,0,0,0
3.6,87.67321128,0,0,0
3.7,87.67516214,0,0,0
3.8,87.67678924,0,0,0
3.9,87.67814426,0,0,0
4,87.67927116,87.67927116,0,0
4.1,87.5014427,87.50117839,0.007137001,0.014274002
4.2,87.29583788,87.2529462,0.007117843,0.014235685
4.3,87.0828813,86.54024827,0.007060691,0.014121381
4.4,86.86799862,84.9679511,0.006933528,0.013867056
4.5,86.6581909,83.16033868,0.006787134,0.013574268
4.6,86.45571602,81.76197059,0.006674084,0.013348169
4.7,86.25891119,80.85636904,0.006601208,0.013202416
4.8,86.06562074,80.29106954,0.006556079,0.013112157
4.9,85.87439964,79.9185137,0.006526665,0.013053329
5,85.67705643,82.54790726,0.006742431,0.013484862
5.1,85.47815979,83.20847539,0.006797423,0.013594847
5.2,85.27930068,83.34574872,0.006809707,0.013619414
5.3,85.08093967,83.2970158,0.006806808,0.013613616
5.4,84.8831847,83.17101217,0.006797598,0.013595196
5.5,84.68604419,83.01028737,0.006785548,0.013571096
5.6,84.48950279,82.83343024,0.006772175,0.013544351
5.7,84.29354266,82.64905792,0.006758184,0.013516368
5.8,84.09814843,82.46128876,0.006743909,0.013487819
5.9,83.90330769,82.27212055,0.006729515,0.013459031
6,83.45689115,79.89484326,0.014706246,0.029412492
6.1,82.99958787,77.82786066,0.014328067,0.028656134
6.2,82.56377688,76.39873015,0.014069521,0.028139042
6.3,82.14625583,75.45905013,0.013901231,0.027802462
6.4,81.74014806,74.80610579,0.013785644,0.027571288
6.5,81.34090471,74.30377887,0.013697705,0.027395409
6.6,80.94611179,73.87718675,0.013623645,0.02724729
6.7,80.5545822,73.48832572,0.013556479,0.027112958
6.8,80.16574396,73.11858399,0.013492784,0.026985569
6.9,79.7793173,72.75898995,0.013430912,0.026861824
7,79.14829494,68.81434733,0.01976643,0.03953286
7.1,78.55210878,66.28909494,0.019047415,0.038094831
7.2,77.99357542,64.79588309,0.018627116,0.037254231
7.3,77.45720939,63.865727,0.018368506,0.036737012
7.4,76.93303928,63.21102259,0.018188801,0.036377603
7.5,76.41626864,62.68570992,0.018046091,0.036092182
7.6,75.9047996,62.22085091,0.017920609,0.035841217
7.7,75.39774225,61.78489674,0.017803308,0.035606616
7.8,74.89471407,61.36359499,0.017690102,0.035380204
7.9,74.39553828,60.95053475,0.017579153,0.035158306
8,74.01615351,51.35549284,0.014818628,0.029637256
8.1,73.67965054,46.18827788,0.013333782,0.026667563
8.2,73.34848584,43.90907816,0.012680897,0.025361793
8.3,73.01438446,42.91200025,0.012397394,0.024794787
8.4,72.67740692,42.41689743,0.012258517,0.024517033
8.5,72.33900104,42.10997231,0.012173846,0.024347692
8.6,72.0003997,41.87273334,0.012109232,0.024218464
8.7,71.6624118,41.66147608,0.012052075,0.02410415
8.8,71.32551454,41.46023987,0.011997774,0.023995547
8.9,70.98997247,41.2632273,0.011944656,0.023889311
9,70.6559255,41.06834103,0.011892116,0.023784232
9.1,70.32344422,40.87482481,0.011839936,0.023679873
9.2,69.99256191,40.68240628,0.011788039,0.023576078
9.3,69.66329218,40.49098661,0.011736395,0.02347279
9.4,69.33563846,40.30052875,0.011684994,0.023369989
9.5,69.00959896,40.11101739,0.011633833,0.023267665
9.6,68.68516923,39.9224447,0.011582908,0.023165816
9.7,68.36234346,39.7348054,0.011532219,0.023064438
9.8,68.04111514,39.548095,0.011481765,0.022963529
9.9,67.72147742,39.36230926,0.011431544,0.022863088
10,67.40342324,39.17744399,0.011381556,0.022763111
10.1,67.08694548,38.99349502,0.011331799,0.022663599
